code	ds_type	max_v	min_v	name	node	node_idx	price	sub_division	idx	node_id	OUID	GasSort	SalesClientID	SupplyCategoryID	ClientStationID	ProvinceID	SalesType	ImportGasSourceType	TradeProp	GasDomestic
3779319601607737344	demand	0.0	0.0	A00000122	A00000123	3779318279294681088	12018.35	0	77	374	XSXB0002	10006		CS000001	ZDGN0257	PROV0015	2.0	null	null	null
3779319601607737345	demand	14.91348	14.91348	A00000124	A00000123	3779318279294681088	12018.35	0	78	374	XSXB0002	10001		CS000001	ZDGN0257	PROV0015	2.0	null	null	null
3779319603256098816	demand	27.95763	27.95763	A00000125	A00000126	3779318277172363264	12018.35	0	79	61	XSXB0002	10001		CS000001	ZDGN0329	PROV0015	2.0	null	null	null
3779319605789458432	demand	0.0	0.0	A00000127	A00000128	3779318277201723392	12018.35	0	80	65	XSXB0002	10007		CS000001	ZDGN0330	PROV0015	2.0	null	null	null
3779319605789458433	demand	10.00226	10.00226	A00000129	A00000128	3779318277201723392	12018.35	0	81	65	XSXB0002	10001		CS000001	ZDGN0330	PROV0015	2.0	null	null	null
3779319607622369280	demand	0.0	0.0	A00000130	A00000131	3779318277226889216	12018.35	0	82	69	XSXB0002	10001		CS000001	ZDGN0331	PROV0015	2.0	null	null	null
3779319609715326976	demand	14.0198	14.0198	A00000132	A00000133	3779318277268832256	12018.35	0	83	76	XSXB0002	10001		CS000001	ZDGN0333	PROV0015	2.0	null	null	null
3779319611112030208	demand	0.0	0.0	A00000134	A00000135	3779318277189140480	12018.35	0	84	63	XSXB0002	10001		CS000001	ZDGN0424	PROV0015	2.0	null	null	null
3779319612479373312	demand	1.346162	1.346162	A00000136	A00000137	3779318279990935552	12018.35	0	85	476	XSXB0002	10001		CS000001	ZDGN0468	PROV0015	2.0	null	null	null
3779319613863493632	demand	2.142642	2.142642	A00000138	A00000139	3779318280003518464	12018.35	0	86	478	XSXB0002	10001		CS000001	ZDGN0470	PROV0015	2.0	null	null	null
3779319615256002560	demand	0.0	0.0	A00000140	A00000141	3779318280024489984	12018.35	0	87	481	XSXB0002	10001		CS000001	ZDGN0472	PROV0015	2.0	null	null	null
3779319616963084288	demand	0.0	0.0	A00000142	A00000143	3779318280037072896	12018.35	0	88	483	XSXB0002	10001		CS000001	ZDGN0474	PROV0015	2.0	null	null	null
3779319618967961600	demand	0.0	0.0	A00000144	A00000145	3779318280011907072	12018.35	0	89	479	XSXB0002	10001		CS000001	ZDGN0475	PROV0015	2.0	null	null	null
3779319618967961601	demand	0.0	0.0	A00000146	A00000145	3779318280011907072	11192.66	0	90	479	XSXB0005	10001		CS000001	ZDGN0475	PROV0018	2.0	null	null	null
3779319620893147136	demand	2.834878	2.834878	A00000147	A00000148	3779318280418754560	12018.35	0	91	536	XSXB0002	10001		CS000001	ZDGN0500	PROV0015	2.0	null	null	null
3779319620893147137	demand	0.0	0.0	A00000149	A00000148	3779318280418754560	17064.22	0	92	536	XSBF0002	10001		CS000001	ZDGN0500	PROV0002	2.0	null	null	null
3779319624101789696	demand	0.348142	0.348142	A00000150	A00000151	3779318280422948864	12018.35	0	93	537	XSXB0002	10001		CS000001	ZDGN0501	PROV0015	2.0	null	null	null
3779319625817260032	demand	0.0	0.0	A00000152	A00000153	3779318280896905216	12018.35	0	94	608	XSXB0002	10007		CS000001	ZDGN0572	PROV0015	2.0	null	null	null
3779319625817260033	demand	38.78768	38.78768	A00000154	A00000153	3779318280896905216	12018.35	0	95	608	XSXB0002	10001		CS000001	ZDGN0572	PROV0015	2.0	null	null	null
3779319627507564544	demand	0.950421	0.950421	A00000155	A00000156	3779318280951431168	12018.35	0	96	616	XSXB0002	10001		CS000001	ZDGN0574	PROV0015	2.0	null	null	null
3779319629093011456	demand	4.700126	4.700126	A00000157	A00000158	3779318281010151424	12018.35	0	97	625	XSXB0002	10001		CS000001	ZDGN0575	PROV0015	2.0	null	null	null
3779319630636515328	demand	8.102175	8.102175	A00000159	A00000160	3779318280917876736	12018.35	0	98	611	XSXB0002	10002		CS000001	ZDGN0576	PROV0015	2.0	null	null	null
3779319632620421120	demand	0.0	0.0	A00000161	A00000162	3779318277231083520	12018.35	0	99	70	XSXB0002	10007		CS000001	ZDGN0595	PROV0015	2.0	null	null	null
3779319632620421121	demand	11.21014	11.21014	A00000163	A00000162	3779318277231083520	12018.35	0	100	70	XSXB0002	10001		CS000001	ZDGN0595	PROV0015	2.0	null	null	null
